year,poct,pnov,pdec,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,mam,mjj
1944,9.5,3.1,-3.900001,-5.199999,-0.6999999,1.7,6.099999,12.6,17.2,19.3,19.2,15.1,10.8,2.8,-0.7,6.799999667,16.36666667
1945,10.8,2.8,-0.7,-1,2.2,2.6,6.3,14,16.7,20.2,20.2,15.7,11.2,4.8,-2.3,7.633333333,16.96666667
1946,11.2,4.8,-2.3,-2.4,0.3,3.8,11.1,12,19.3,20.2,19.1,16.4,9.4,1.9,2,8.966666667,17.16666667
1947,9.4,1.9,2,-2.4,1.8,3.4,7.599999,14.1,17,20.9,19,16.8,11.7,1.1,-2.1,8.366666333,17.33333333
1948,11.7,1.1,-2.1,-2.9,-2.2,-0.8,10.1,13.9,17.5,20.6,19.7,16,9.7,1,0.3,7.733333333,17.33333333
1949,9.7,1,0.3,-4.8,-1.4,3.9,8.1,13.1,17.4,19.9,18.9,16.6,9.300001,6.5,-2.6,8.366666667,16.8
1950,9.300001,6.5,-2.6,-1.3,2.7,2.9,9.3,12.9,18.3,19.1,18.2,14.5,13.4,5.2,2.3,8.366666667,16.76666667
1951,13.4,5.2,2.3,-1.1,0.3,2.9,7.5,13.7,17.5,22.1,19.4,16.4,10.9,2.1,-1.2,8.033333333,17.76666667
1952,10.9,2.1,-1.2,-0.1999999,-0.4,0.6000001,8,13.4,19.4,19.6,19.7,15.7,11.3,0.6000001,-3.5,7.333333367,17.46666667
1953,11.3,0.6000001,-3.5,1.9,-0.8000001,4,7.4,11.1,19.4,20.7,19.1,16.4,10.6,4,-2.9,7.5,17.06666667
1954,10.6,4,-2.9,0,4.3,2.8,11.6,14.3,18.7,21.6,19.2,17.1,12.1,5.300001,-1,9.566666667,18.2
1955,12.1,5.300001,-1,-2.4,-2.7,3.3,7.5,12.4,17.2,19.7,19.5,16.5,11.5,3.8,1.7,7.733333333,16.43333333
1956,11.5,3.8,1.7,1.5,-2,4.3,7.599999,15.4,20.2,20.2,18.7,17.5,11.1,1.1,-1,9.099999667,18.6
1957,11.1,1.1,-1,0.5000001,4.5,3.3,6.8,11.1,17.9,20.4,18.8,15.1,9.6,0.3,-0.3000001,7.066666667,16.46666667
1958,9.6,0.3,-0.3000001,-2.2,2.1,0.9000001,6.199999,14.5,19.5,20.4,20,15.4,9.6,3.9,1.9,7.1999997,18.13333333
1959,9.6,3.9,1.9,-2.2,0,2.3,8.4,13.1,19.1,20.1,19.2,15.4,9.6,3,0,7.933333333,17.43333333
1960,9.6,3,0,-3.9,-2.6,4.3,9,12.8,18.6,19.9,19.8,16.3,9.4,4.400001,-2.9,8.7,17.1
1961,9.4,4.400001,-2.9,-3.1,0.5,3.1,7,13.6,18.4,19.2,18.6,13.7,9.5,1.1,-3.2,7.9,17.06666667
1962,9.5,1.1,-3.2,-3.7,2,-1.00E-01,9.5,12.8,16.8,18.9,19,15.3,10.3,5.5,0.1999999,7.400000033,16.16666667
1963,10.3,5.5,0.1999999,-4.7,0.3,2.3,9,14.6,17.5,21.3,18.9,17,12,3.7,-1.8,8.633333333,17.8
1964,12,3.7,-1.8,-4.5,-3.8,0,6.099999,13.6,17.4,20.4,19.2,15.4,11,2.7,-2.6,6.566666333,17.13333333
1965,11,2.7,-2.6,-0.5,-0.9,1.5,7.9,11.7,15.6,20.1,18.5,14.2,10.8,5.900001,-0.4,7.033333333,15.8
1966,10.8,5.900001,-0.4,-4.4,-3.4,3.1,7.9,14.3,17.2,21.3,18.8,15.3,9.800001,5.2,-1.3,8.433333333,17.6
1967,9.800001,5.2,-1.3,-2.1,0.6,6.3,9.3,12.3,16.3,20.6,17.9,15.2,10.7,5.1,-3,9.3,16.4
1968,10.7,5.1,-3,-1.7,1.7,3.5,6.699999,12.1,18.4,19.2,17.4,14.7,10.9,2.6,-3,7.433333,16.56666667
1969,10.9,2.6,-3,0.6,0,0.4000001,9.4,14.2,16.8,21.2,20.9,15.9,8.2,2.5,0.5,8.000000033,17.4
1970,8.2,2.5,0.5,-2.1,2.6,1.8,5.9,13.7,16.8,20.8,19.9,14.5,7.6,3.9,0,7.133333333,17.1
1971,7.6,3.9,0,-1.6,-0.3,3.7,7.099999,11.5,17.6,20,18.2,14.1,8.5,3.7,-3.2,7.433333,16.36666667
1972,8.5,3.7,-3.2,-1.2,1.9,6.8,8.9,12.6,17.7,20.1,18.2,15.2,10.5,0,-2.5,9.433333333,16.8
1973,10.5,0,-2.5,-4.7,-2.6,2.4,5,12.1,17.3,19.7,19.4,14.4,9.9,4.3,-1.5,6.5,16.36666667
1974,9.9,4.3,-1.5,-3.2,-1.8,6.6,8.1,15.1,19.6,19.5,17.1,13.9,10.8,3.3,-3.7,9.933333333,18.06666667
1975,10.8,3.3,-3.7,-4.7,-1.4,2.4,5.199999,11.1,16.9,19.4,18.9,14,9.9,2.4,-1.2,6.233333,15.8
1976,9.9,2.4,-1.2,-3.3,2.7,2.4,7.8,12.3,17.1,19.5,18.1,14.7,7.900001,1.6,-3,7.5,16.3
1977,7.900001,1.6,-3,-4.8,0.4,1.4,8.8,12.9,18.4,20.3,19.8,15.9,10.9,4.6,1.4,7.7,17.2
1978,10.9,4.6,1.4,-0.4000001,0.3,5.2,9.4,11.3,18.4,21.7,18.6,15.5,11.4,4.8,-3.1,8.633333333,17.13333333
1979,11.4,4.8,-3.1,-4.599999,-1.1,3.5,8.5,12.7,17.4,21.1,19.2,16.7,12.3,1,-0.1,8.233333333,17.06666667
1980,12.3,1,-0.1,0.8000001,2.5,2.9,6.5,11.6,19.4,22.4,19.8,16,8.800001,3.3,2.4,7,17.8
1981,8.800001,3.3,2.4,0.3000001,1.8,3.1,10.3,13,19.6,21.1,18.8,15.5,9.5,5.400001,0.9,8.8,17.9
1982,9.5,5.400001,0.9,-1.2,-0.9,3.6,8.1,12,17.4,20.5,19.9,15.5,8.7,3,-1.5,7.9,16.63333333
1983,8.7,3,-1.5,-1.2,0.3,3.6,5,11.8,16.8,21.1,20.6,17.5,10.4,3.3,-1.9,6.8,16.56666667
1984,10.4,3.3,-1.9,-4.7,-1.1,2.7,6.5,15.6,17.3,20.6,19.1,15.4,7.300001,3.2,-0.8000001,8.266666667,17.83333333
1985,7.300001,3.2,-0.8000001,-2.3,-0.6,4,9.199999,13.1,17.7,19.8,19.5,13.8,10.2,3.9,-0.3000001,8.766666333,16.86666667
1986,10.2,3.9,-0.3000001,1.7,2.3,5.6,8.9,12.7,17.2,18.7,19.1,14.1,8.6,2.8,-1.1,9.066666667,16.2
1987,8.6,2.8,-1.1,-3.5,0,1.9,7.9,12.2,17.4,19.9,18.4,14.7,11.8,3.4,-2.3,7.333333333,16.5
1988,11.8,3.4,-2.3,-4.3,0.7,3,8.1,12.7,18.1,20.1,18.8,14,11.8,3.7,-2.1,7.933333333,16.96666667
1989,11.8,3.7,-2.1,-2.1,0,6.7,10.8,14.9,18.2,20.6,18.3,15.6,9.7,4.2,-1.5,10.8,17.9
1990,9.7,4.2,-1.5,-2.3,0.3,4.5,9.199999,12.5,20.2,19.4,17.6,16.3,10.3,3.8,-3.4,8.733333,17.36666667
1991,10.3,3.8,-3.4,-3.2,2.3,3.1,7.9,13.4,17.4,19.5,18.8,14.9,11,1.9,-3,8.133333333,16.76666667
1992,11,1.9,-3,-5.199999,-0.2,3.6,10.3,13.3,16.7,19.2,18.2,15.7,11.6,0.4000001,-3.900001,9.066666667,16.4
1993,11.6,0.4000001,-3.900001,-0.8000001,0.6,4,8.5,13.4,18,20.8,18.8,15,9.2,2.1,-0.7,8.633333333,17.4
1994,9.2,2.1,-0.7,0,0.6,5.1,9.4,14.3,20.7,21.2,20.5,16.1,9.800001,3.4,1.4,9.6,18.73333333
1995,9.800001,3.4,1.4,0.6,5.5,5.3,7.199999,12.7,17.5,20.5,20.9,15.8,10.9,6.6,1.7,8.399999667,16.9
1996,10.9,6.6,1.7,0.5000001,3.9,3.6,9,16.5,19.2,20.9,19.5,14.4,9.4,4.7,0.6,9.7,18.86666667
1997,9.4,4.7,0.6,-2.6,0.3,5.6,6.199999,13.4,17.2,19.5,19.1,16.8,9.6,2.7,-4.1,8.399999667,16.7
1998,9.6,2.7,-4.1,-1.2,1.00E-01,3.3,6.199999,13.5,17.6,20,19.4,17.9,10.2,5.1,0.6999999,7.666666333,17.03333333
1999,10.2,5.1,0.6999999,1.8,2.8,5.6,6.9,12.4,16.8,19.6,18.6,14.8,10.4,6.2,-0.6000001,8.3,16.26666667
2000,10.4,6.2,-0.6000001,1.6,3.5,3.9,10,15.9,18.6,20.6,20.2,16.9,9.5,0.6999998,-0.1,9.933333333,18.36666667
2001,9.5,0.6999998,-0.1,-2.8,1.1,4.2,9.3,15,19.3,21.1,19.1,17.3,11.8,5.400001,-0.8000001,9.5,18.46666667
2002,11.8,5.400001,-0.8000001,-1.1,0.3,3.5,11.4,14.4,20.5,20.5,19.7,15.5,9.4,3.8,-0.4,9.766666667,18.46666667
2003,9.4,3.8,-0.4,2.5,0.4,4,8.9,14.6,17.8,23.2,20.4,16.1,12.8,4.1,-0.2,9.166666667,18.53333333
2004,12.8,4.1,-0.2,-0.3000001,-1,7,7.599999,15.1,18,19.7,18,15.1,9.800001,3.3,-0.4,9.899999667,17.6
2005,9.800001,3.3,-0.4,1,1.9,2.9,8.199999,13.8,17.8,21.6,19.1,16.7,10.5,5.400001,0.1999999,8.299999667,17.73333333
2006,10.5,5.400001,0.1999999,0.8000001,1.5,4.1,10.7,15.9,20,20.5,17.9,12.9,9.4,5.1,-1.5,10.23333333,18.8
2007,9.4,5.1,-1.5,-4.1,1,5.8,8,13,18.3,20.9,21.1,16.8,11.4,5.6,-1.2,8.933333333,17.4
2008,11.4,5.6,-1.2,-2.8,0.8000001,4.1,8.1,12.9,18.8,19.7,19.4,15.9,10.8,5.2,0.1,8.366666667,17.13333333
2009,10.8,5.2,0.1,0.5000001,2.9,5.2,8.1,15.2,17.4,21.3,19.8,15.2,8.9,5.300001,-3,9.5,17.96666667
